数据由邢不行整理
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值
bj830799,艾融软件,2021-11-15,18.98,19.0,16.87,17.0,18.13,2207843.0,39037867.0,606128115.0,2393077250.0
bj830799,艾融软件,2021-11-16,17.39,17.48,16.14,16.32,17.0,980180.0,16405612.0,581882990.4,2297354160.0
bj830799,艾融软件,2021-11-17,16.56,16.56,15.9,16.27,16.32,513432.0,8338668.0,580100260.65,2290315697.5
bj830799,艾融软件,2021-11-18,16.28,16.28,15.9,15.9,16.27,414309.0,6637344.0,566908060.5,2238231075.0
bj830799,艾融软件,2021-11-19,15.9,16.1,15.88,16.01,15.9,416782.0,6668441.0,570830065.95,2253715692.5
bj830799,艾融软件,2021-11-22,16.1,16.38,15.96,16.2,16.01,311557.0,5044295.0,577604439.0,2280461850.0
bj830799,艾融软件,2021-11-23,16.4,16.96,16.18,16.83,16.2,636069.0,10597974.0,600066833.85,2369146477.5
bj830799,艾融软件,2021-11-24,17.1,17.19,16.64,16.76,16.83,582577.0,9880304.0,597571012.1999999,2359292630.0
bj830799,艾融软件,2021-11-25,16.76,16.88,16.2,16.26,16.76,389257.0,6404204.0,579743714.6999999,2288908005.0
bj830799,艾融软件,2021-11-26,16.63,16.63,16.01,16.1,16.26,356762.0,5765795.0,574038979.5,2266384925.0
bj830799,艾融软件,2021-11-29,15.96,15.96,15.52,15.7,16.1,463340.0,7295789.0,559777141.5,2210077225.0
bj830799,艾融软件,2021-11-30,15.87,16.03,15.69,15.7,15.7,167071.0,2640108.0,559777141.5,2210077225.0
bj830799,艾融软件,2021-12-01,15.7,15.92,15.7,15.78,15.7,220558.0,3473935.0,562629509.1,2221338765.0
bj830799,艾融软件,2021-12-02,15.78,15.8,15.46,15.48,15.78,241679.0,3794741.0,551933130.6,2179107990.0
bj830799,艾融软件,2021-12-03,15.52,15.52,15.08,15.15,15.48,343421.0,5236396.0,540167114.25,2132654137.5
bj830799,艾融软件,2021-12-06,15.01,15.28,14.88,14.88,15.15,238417.0,3584556.0,530540373.6,2094646440.0
bj830799,艾融软件,2021-12-07,14.88,15.16,14.5,14.68,14.88,235534.0,3477851.0,523409454.6,2066492590.0
bj830799,艾融软件,2021-12-08,14.78,14.94,14.68,14.85,14.68,199296.0,2952856.0,529470735.75,2090423362.5
bj830799,艾融软件,2021-12-09,15.0,16.07,15.0,15.35,14.85,684734.0,10577033.0,547298033.25,2160807987.5
bj830799,艾融软件,2021-12-10,15.35,15.36,13.85,15.23,15.35,341741.0,5088542.0,543019481.85,2143915677.4999998
bj830799,艾融软件,2021-12-13,15.26,15.88,15.26,15.4,15.23,302490.0,4707228.0,549080763.0,2167846450.0
bj830799,艾融软件,2021-12-14,15.5,15.77,14.95,15.63,15.4,365080.0,5671769.0,557281319.85,2200223377.5
bj830799,艾融软件,2021-12-15,15.75,15.75,15.33,15.47,15.63,157321.0,2430933.0,551576584.65,2177700297.5
bj830799,艾融软件,2021-12-16,15.53,15.53,15.05,15.2,15.47,152007.0,2323186.0,541949844.0,2139692600.0
bj830799,艾融软件,2021-12-17,15.12,15.34,14.9,14.94,15.2,306086.0,4611522.0,532679649.3,2103092594.9999998
bj830799,艾融软件,2021-12-20,15.18,15.18,14.8,14.83,14.94,165107.0,2457794.0,528757643.85,2087607977.5
bj830799,艾融软件,2021-12-21,14.79,14.96,14.5,14.64,14.83,220487.0,3232733.0,521983270.8,2060861820.0
bj830799,艾融软件,2021-12-22,14.69,14.69,14.55,14.66,14.64,117337.0,1717650.0,522696362.70000005,2063677205.0
bj830799,艾融软件,2021-12-23,14.6,14.73,14.5,14.52,14.66,110060.0,1602952.0,517704719.40000004,2043969510.0
bj830799,艾融软件,2021-12-24,14.44,14.58,13.95,14.42,14.52,111967.0,1609848.0,514139259.90000004,2029892585.0
bj830799,艾融软件,2021-12-27,14.16,14.49,14.16,14.43,14.42,97751.0,1412197.0,514495805.85,2031300277.5
bj830799,艾融软件,2021-12-28,14.33,15.09,14.33,14.79,14.43,192713.0,2836180.0,527331460.05,2081977207.5
bj830799,艾融软件,2021-12-29,14.83,14.94,14.68,14.68,14.79,154961.0,2291540.0,523409454.6,2066492590.0
bj830799,艾融软件,2021-12-30,14.89,15.68,14.56,15.11,14.68,365814.0,5578099.0,538740930.45,2127023367.4999998
bj830799,艾融软件,2021-12-31,15.45,15.7,15.29,15.55,15.11,532351.0,8275784.0,554428952.25,2188961837.5
bj830799,艾融软件,2022-01-04,15.5,15.6,15.07,15.53,15.55,295528.0,4532095.0,553715860.35,2186146452.5
bj830799,艾融软件,2022-01-05,15.72,15.72,15.28,15.48,15.53,166670.0,2584990.0,551933130.6,2179107990.0
bj830799,艾融软件,2022-01-06,15.4,15.58,15.0,15.01,15.48,322926.0,4893769.0,535175470.95,2112946442.5000002
bj830799,艾融软件,2022-01-07,14.9,15.56,14.9,15.12,15.01,247537.0,3783410.0,539097476.4,2128431060.0
bj830799,艾融软件,2022-01-10,15.1,15.46,15.03,15.29,15.12,206072.0,3147369.0,545158757.55,2152361832.5
bj830799,艾融软件,2022-01-11,15.51,15.51,14.98,14.98,15.29,190189.0,2877552.0,534105833.1,2108723365.0
bj830799,艾融软件,2022-01-12,15.25,15.25,14.62,14.86,14.98,214950.0,3177939.0,529827281.70000005,2091831055.0
bj830799,艾融软件,2022-01-13,14.98,15.14,14.85,14.94,14.86,166857.0,2498560.0,532679649.3,2103092594.9999998
bj830799,艾融软件,2022-01-14,14.73,15.21,14.73,15.06,14.94,148929.0,2225320.0,536958200.7,2119984905.0000002
