数据由邢不行整理
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值
bj871981,N晶赛,2021-11-15,44.87,72.88,44.5,56.53,18.32,9137784.0,514059795.0,718504214.1999999,2986949099.0000005
bj871981,晶赛科技,2021-11-16,48.8,60.0,47.71,54.0,56.53,4047330.0,219437236.0,686347559.9999999,2853268200.0
bj871981,晶赛科技,2021-11-17,55.88,57.57,50.13,54.6,54.0,2511543.0,133917482.0,693973644.0,2884971180.0
bj871981,晶赛科技,2021-11-18,54.49,54.89,49.68,50.18,54.6,1886388.0,98121883.0,637794825.1999999,2651425894.0
bj871981,晶赛科技,2021-11-19,50.99,51.45,45.18,46.06,50.18,2160829.0,101427991.0,585429048.4,2433732098.0
bj871981,晶赛科技,2021-11-22,46.13,48.55,44.5,48.1,46.06,1744533.0,81872843.0,611357734.0,2541522230.0
bj871981,晶赛科技,2021-11-23,48.1,53.49,47.58,50.94,48.1,1985540.0,100545992.0,647454531.6,2691583002.0
bj871981,晶赛科技,2021-11-24,50.66,51.68,49.2,49.66,50.94,1097120.0,55098374.0,631185552.4,2623949978.0
bj871981,晶赛科技,2021-11-25,49.5,54.0,49.26,52.08,49.66,1765510.0,92139408.0,661944091.1999999,2751818664.0
bj871981,晶赛科技,2021-11-26,51.44,56.32,51.32,54.34,52.08,1854346.0,101152404.0,690669007.6,2871233222.0
bj871981,晶赛科技,2021-11-29,52.75,54.95,49.8,50.09,54.34,1738102.0,90164305.0,636650912.6,2646670447.0000005
bj871981,晶赛科技,2021-11-30,50.5,51.66,48.51,51.42,50.09,1267268.0,63355817.0,653555398.8,2716945386.0000005
bj871981,晶赛科技,2021-12-01,51.39,51.6,49.89,50.0,51.42,722219.0,36470584.0,635507000.0,2641915000.0
bj871981,晶赛科技,2021-12-02,49.71,51.5,49.38,49.38,50.0,736102.0,37188794.0,627626713.2,2609155254.0
bj871981,晶赛科技,2021-12-03,49.55,49.7,46.48,47.15,49.38,1166622.0,55186539.0,599283101.0,2491325845.0
bj871981,晶赛科技,2021-12-06,47.23,47.68,44.88,45.06,47.15,800321.0,36577475.0,572718908.4,2380893798.0
bj871981,晶赛科技,2021-12-07,45.46,47.38,44.8,46.25,45.06,725227.0,33324788.0,587843975.0,2443771375.0
bj871981,晶赛科技,2021-12-08,46.03,46.85,45.6,45.99,46.25,397580.0,18283691.0,584539338.6,2430033417.0
bj871981,晶赛科技,2021-12-09,45.99,46.5,45.51,45.74,45.99,317887.0,14559367.0,581361803.6,2416823842.0
bj871981,晶赛科技,2021-12-10,45.98,45.98,44.8,44.87,45.74,531352.0,24007094.0,570303981.8,2370854521.0
bj871981,晶赛科技,2021-12-13,45.81,47.11,45.25,46.78,44.87,637072.0,29574921.0,594580349.1999999,2471775674.0
bj871981,晶赛科技,2021-12-14,47.2,47.98,46.16,47.0,46.78,572352.0,26965099.0,597376580.0,2483400100.0
bj871981,晶赛科技,2021-12-15,47.18,47.18,45.55,45.68,47.0,431602.0,19810267.0,580599195.2,2413653544.0
bj871981,晶赛科技,2021-12-16,46.0,46.35,44.88,45.02,45.68,306080.0,13845069.0,572210502.8000001,2378780266.0
bj871981,晶赛科技,2021-12-17,45.06,45.5,43.25,43.39,45.02,581505.0,25706761.0,551492974.6,2369961800.0
bj871981,晶赛科技,2021-12-20,43.09,43.51,40.33,41.14,43.39,657288.0,27259874.0,522895159.59999996,2247066800.0
bj871981,晶赛科技,2021-12-21,41.1,41.44,39.96,40.2,41.14,405696.0,16394350.0,510947627.99999994,2195724000.0
bj871981,晶赛科技,2021-12-22,40.36,42.54,40.1,40.77,40.2,384305.0,16010547.0,518192407.8,2226857400.0
bj871981,晶赛科技,2021-12-23,40.51,40.8,39.39,39.53,40.77,284074.0,11356614.0,502431834.2,2159128600.0
bj871981,晶赛科技,2021-12-24,39.53,39.78,38.13,38.23,39.53,327664.0,12634321.0,485908652.2,2088122600.0
bj871981,晶赛科技,2021-12-27,38.9,39.5,38.01,38.3,38.23,321679.0,12436266.0,486798362.0,2091946000.0
bj871981,晶赛科技,2021-12-28,38.49,39.34,38.11,39.33,38.3,323852.0,12537467.0,499889806.20000005,2148204600.0
bj871981,晶赛科技,2021-12-29,39.49,40.89,39.32,40.0,39.33,532687.0,21435972.0,508405600.0,2184800000.0
bj871981,晶赛科技,2021-12-30,39.98,41.04,39.6,40.83,40.0,460673.0,18744233.0,518955016.20000005,2230134600.0
bj871981,晶赛科技,2021-12-31,41.0,43.98,40.98,43.08,40.83,791838.0,33826006.0,547552831.2,2353029600.0
bj871981,晶赛科技,2022-01-04,43.27,43.27,40.5,41.3,43.08,560539.0,23375127.0,524928782.0,2255806000.0
bj871981,晶赛科技,2022-01-05,41.25,42.88,40.72,41.5,41.3,349926.0,14638630.0,527470810.0,2266730000.0
bj871981,晶赛科技,2022-01-06,40.75,41.43,39.63,39.66,41.5,460479.0,18407079.0,504084152.40000004,2166229200.0
bj871981,晶赛科技,2022-01-07,40.24,40.24,39.11,39.15,39.66,223873.0,8832331.0,497601981.0,2138373000.0
bj871981,晶赛科技,2022-01-10,39.02,39.6,39.0,39.1,39.15,134984.0,5292464.0,496966474.0,2135642000.0
bj871981,晶赛科技,2022-01-11,39.02,39.83,39.0,39.01,39.1,217370.0,8547024.0,495822561.4,2130726200.0
bj871981,晶赛科技,2022-01-12,39.06,39.54,39.05,39.46,39.01,143855.0,5654070.0,501542124.40000004,2155305200.0
bj871981,晶赛科技,2022-01-13,39.53,40.39,38.8,39.38,39.46,226785.0,9036895.0,500525313.20000005,2150935600.0
bj871981,晶赛科技,2022-01-14,38.71,39.71,38.71,38.92,39.38,221722.0,8655505.0,494678648.8,2125810400.0
