数据由邢不行整理
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值
sh601702,N华峰铝,2020-09-07,4.43,5.31,4.43,5.31,3.69,1419137.0,7513969.0,1325535300.0,5302197486.000001
sh601702,华峰铝业,2020-09-08,5.84,5.84,5.84,5.84,5.31,401143.0,2342675.0,1457839200.0000002,5831418704.0
sh601702,华峰铝业,2020-09-09,6.42,6.42,6.42,6.42,5.84,625153.0,4013482.0,1602624600.0,6410566452.0
sh601702,华峰铝业,2020-09-10,7.06,7.06,7.06,7.06,6.42,993369.0,7013185.0,1762387800.0,7049626036.0
sh601702,华峰铝业,2020-09-11,7.77,7.77,6.7,7.77,7.06,157447611.0,1159717228.0,1939625100.0,7758582762.0
sh601702,华峰铝业,2020-09-14,7.35,7.49,6.99,7.22,7.77,128476091.0,923153891.0,1802328600.0,7209390932.0
sh601702,华峰铝业,2020-09-15,7.1,7.28,6.9,7.13,7.22,79613588.0,564960215.0,1779861900.0,7119523178.0
sh601702,华峰铝业,2020-09-16,7.28,7.84,7.25,7.84,7.13,71911032.0,548340255.0,1957099200.0,7828479904.0
sh601702,华峰铝业,2020-09-17,8.18,8.4,7.65,7.8,7.84,144422186.0,1158499231.0,1947114000.0,7788538680.0
sh601702,华峰铝业,2020-09-18,7.59,7.69,7.25,7.54,7.8,80689589.0,597573189.0,1882210200.0,7528920723.999999
sh601702,华峰铝业,2020-09-21,7.5,7.79,7.36,7.79,7.54,63907660.0,483153218.0,1944617700.0,7778553374.0
sh601702,华峰铝业,2020-09-22,7.54,8.09,7.51,7.84,7.79,83449258.0,652191648.0,1957099200.0,7828479904.0
sh601702,华峰铝业,2020-09-23,7.84,8.62,7.84,8.11,7.84,125500942.0,1045980567.0,2024499300.0,8098083166.0
sh601702,华峰铝业,2020-09-24,7.81,7.82,7.3,7.31,8.11,100843950.0,751684677.0,1824795300.0,7299258686.0
sh601702,华峰铝业,2020-09-25,7.26,7.3,6.75,7.06,7.31,57161661.0,400316239.0,1762387800.0,7049626036.0
sh601702,华峰铝业,2020-09-28,6.95,6.98,6.52,6.58,7.06,42233893.0,283643924.0,1642565400.0,6570331348.0
sh601702,华峰铝业,2020-09-29,6.61,6.74,6.54,6.56,6.58,27084947.0,179255880.0,1637572800.0,6550360736.0
sh601702,华峰铝业,2020-09-30,6.59,6.61,6.3,6.34,6.56,30719983.0,196734706.0,1582654200.0000002,6330684004.0
sh601702,华峰铝业,2020-10-09,6.48,6.75,6.41,6.65,6.34,33711755.0,221840533.0,1660039500.0,6640228490.0
sh601702,华峰铝业,2020-10-12,6.88,6.99,6.68,6.86,6.65,44574055.0,305435967.0,1712461800.0,6849919915.999999
sh601702,华峰铝业,2020-10-13,6.84,7.09,6.69,6.96,6.86,51062409.0,351049042.0,1737424800.0,6949772976.000001
sh601702,华峰铝业,2020-10-14,6.83,7.02,6.74,6.82,6.96,35650767.0,244442925.0,1702476600.0,6809978692.0
sh601702,华峰铝业,2020-10-15,6.87,6.94,6.49,6.54,6.82,32934017.0,220715288.0,1632580200.0,6530390124.0
sh601702,华峰铝业,2020-10-16,6.52,6.59,6.42,6.46,6.54,25324085.0,164184235.0,1612609800.0,6450507676.0
sh601702,华峰铝业,2020-10-19,6.47,6.52,6.35,6.37,6.46,17796783.0,114271491.0,1590143100.0,6360639922.0
sh601702,华峰铝业,2020-10-20,6.37,6.6,6.31,6.59,6.37,24933407.0,161389772.0,1645061700.0000002,6580316654.000001
sh601702,华峰铝业,2020-10-21,6.54,6.58,6.39,6.44,6.59,18627399.0,120175837.0,1607617200.0,6430537064.0
sh601702,华峰铝业,2020-10-22,6.48,6.69,6.42,6.61,6.44,27107128.0,177566460.0,1650054300.0,6600287266.000001
sh601702,华峰铝业,2020-10-23,6.55,6.77,6.54,6.62,6.61,27153133.0,180558834.0,1652550600.0,6610272572.0
sh601702,华峰铝业,2020-10-26,6.54,6.54,6.38,6.44,6.62,17662788.0,113744402.0,1607617200.0,6430537064.0
sh601702,华峰铝业,2020-10-27,6.4,6.48,6.19,6.22,6.44,21100816.0,132937843.0,1552698599.9999998,6210860331.999999
sh601702,华峰铝业,2020-10-28,6.22,6.39,6.12,6.28,6.22,16382055.0,102140818.0,1567676400.0000002,6270772168.000001
sh601702,华峰铝业,2020-10-29,6.15,6.25,6.11,6.16,6.28,15014311.0,92589711.0,1537720799.9999998,6150948496.0
sh601702,华峰铝业,2020-10-30,6.16,6.18,5.8,5.82,6.16,26559718.0,158717327.0,1452846600.0,5811448092.0
sh601702,华峰铝业,2020-11-02,5.81,5.88,5.72,5.82,5.82,14667330.0,85138065.0,1452846600.0,5811448092.0
sh601702,华峰铝业,2020-11-03,5.87,6.14,5.82,6.08,5.82,24492354.0,147632349.0,1517750400.0,6071066048.0
sh601702,华峰铝业,2020-11-04,6.12,6.19,5.97,6.06,6.08,19484713.0,118391940.0,1512757800.0,6051095436.0
sh601702,华峰铝业,2020-11-05,6.09,6.15,6.06,6.1,6.06,14459478.0,88187972.0,1522743000.0,6091036660.0
sh601702,华峰铝业,2020-11-06,6.14,6.35,6.05,6.27,6.1,30101592.0,186053497.0,1565180100.0,6260786862.0
sh601702,华峰铝业,2020-11-09,6.26,6.9,6.23,6.9,6.27,34068296.0,227205025.0,1722447000.0,6889861139.999999
