数据由邢不行整理
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值
sz300877,N金春,2020-08-24,48.0,61.24,48.0,58.8,30.54,16462397.0,884717655.0,1673091025.1999998,7056000000.0
sz300877,C金春,2020-08-25,65.0,104.0,65.0,104.0,58.8,19668112.0,1493557342.0,2959208616.0,12480000000.0
sz300877,C金春,2020-08-26,90.61,103.0,85.0,85.4,104.0,17190295.0,1578803168.0,2429965536.6,10248000000.0
sz300877,C金春,2020-08-27,81.6,84.99,71.12,71.41,85.4,11639283.0,886891842.0,2031895069.89,8569200000.0
sz300877,C金春,2020-08-28,69.97,73.99,63.41,68.0,71.41,10138248.0,695365571.0,1934867172.0,8160000000.0
sz300877,金春股份,2020-08-31,68.0,69.98,65.46,68.2,68.0,7128871.0,485560051.0,1940557957.8,8184000000.0
sz300877,金春股份,2020-09-01,66.9,67.29,61.82,62.15,68.2,8454597.0,545404427.0,1768411687.35,7458000000.0
sz300877,金春股份,2020-09-02,61.3,63.2,60.01,61.06,62.15,5910475.0,364052308.0,1737396904.74,7327200000.0
sz300877,金春股份,2020-09-03,62.0,63.78,58.28,58.58,61.06,6218572.0,380131337.0,1666831160.82,7029600000.0
sz300877,金春股份,2020-09-04,56.6,59.65,56.13,57.88,58.58,5326465.0,305915966.0,1646913410.52,6945600000.0
sz300877,金春股份,2020-09-07,56.8,57.54,55.3,55.8,57.88,4958672.0,279283636.0,1587729238.2,6696000000.0
sz300877,金春股份,2020-09-08,55.5,56.78,53.73,53.81,55.8,4510413.0,247717666.0,1531105919.49,6457200000.0
sz300877,金春股份,2020-09-09,52.98,53.86,49.71,49.75,53.81,4963565.0,255848862.0,1415582967.75,5970000000.0
sz300877,金春股份,2020-09-10,50.59,50.88,48.02,48.22,49.75,3947842.0,195960808.0,1372048456.38,5786400000.0
sz300877,金春股份,2020-09-11,48.05,55.59,47.07,55.18,48.22,7955694.0,413691596.0,1570087802.22,6621600000.0
sz300877,金春股份,2020-09-14,54.0,57.99,53.81,57.2,55.18,8481591.0,477465138.0,1627564738.8,6864000000.0
sz300877,金春股份,2020-09-15,56.15,62.77,54.5,57.93,57.2,9726558.0,568757109.0,1648336106.97,6951600000.0
sz300877,金春股份,2020-09-16,56.61,64.97,55.51,62.86,57.93,11141240.0,670951370.0,1788613976.94,7543200000.0
sz300877,金春股份,2020-09-17,60.98,66.3,58.7,59.72,62.86,12511484.0,784621745.0,1699268639.88,7166400000.0
sz300877,金春股份,2020-09-18,58.0,60.5,56.03,57.07,59.72,6316911.0,365025487.0,1623865728.03,6848400000.0
sz300877,金春股份,2020-09-21,57.25,61.3,56.35,60.3,57.07,6328236.0,374658464.0,1715771918.7,7236000000.0
sz300877,金春股份,2020-09-22,58.7,63.5,58.48,61.42,60.3,7635553.0,471602061.0,1747640319.1799998,7370400000.0
sz300877,金春股份,2020-09-23,61.43,64.0,60.28,62.0,61.42,7022930.0,438129984.0,1764143598.0,7440000000.0
sz300877,金春股份,2020-09-24,62.35,74.4,61.85,74.4,62.0,11950514.0,817680730.0,2116972317.6,8928000000.0
sz300877,金春股份,2020-09-25,76.92,78.9,66.9,67.99,74.4,13482208.0,956906915.0,1934582632.71,8158800000.0
sz300877,金春股份,2020-09-28,66.01,66.88,60.1,61.85,67.99,8580768.0,546396660.0,1759875508.65,7422000000.0
sz300877,金春股份,2020-09-29,62.56,63.06,58.22,58.39,61.85,6393134.0,381248706.0,1661424914.31,7006800000.0
sz300877,金春股份,2020-09-30,57.81,60.95,57.81,58.29,58.39,5365607.0,318783553.0,1658579521.4099998,6994800000.0
sz300877,金春股份,2020-10-09,59.84,66.41,59.21,64.34,58.29,7849764.0,493948287.0,1830725791.86,7720800000.0
sz300877,金春股份,2020-10-12,65.06,67.95,65.01,66.5,64.34,7822641.0,517091893.0,1892186278.5,7980000000.0
sz300877,金春股份,2020-10-13,66.33,68.95,65.16,67.3,66.5,7058600.0,474250208.0,1914949421.7,8076000000.0
sz300877,金春股份,2020-10-14,66.5,80.01,66.46,73.08,67.3,12566442.0,943980316.0,2079413131.32,8769600000.0
sz300877,金春股份,2020-10-15,71.5,85.85,69.0,79.25,73.08,13877258.0,1053535053.0,2254973873.25,9510000000.0
sz300877,金春股份,2020-10-16,76.28,78.99,73.81,75.7,79.25,9956884.0,761085284.0,2153962425.3,9084000000.0
sz300877,金春股份,2020-10-19,76.01,83.0,74.0,74.09,75.7,9410085.0,732382239.0,2108151599.61,8890800000.0
sz300877,金春股份,2020-10-20,71.09,77.56,71.07,76.81,74.09,8276259.0,616422090.0,2185546286.49,9217200000.0
sz300877,金春股份,2020-10-21,76.66,79.3,73.0,75.5,76.81,8762282.0,668745505.0,2148271639.5,9060000000.0
sz300877,金春股份,2020-10-22,73.01,75.38,70.51,70.95,75.5,6513816.0,476035744.0,2018806262.55,8514000000.0
sz300877,金春股份,2020-10-23,71.85,73.5,68.7,70.1,70.95,5424009.0,385035351.0,1994620422.9,8412000000.0
sz300877,金春股份,2020-10-26,70.18,74.98,69.19,73.89,70.1,5933126.0,431085318.0,2102460813.81,8866800000.0
sz300877,金春股份,2020-10-27,72.8,73.88,70.58,73.01,73.89,4435927.0,321008465.0,2077421356.29,8761200000.0
sz300877,金春股份,2020-10-28,73.1,74.1,71.85,72.76,73.01,4193571.0,306260630.0,2070307874.04,8731200000.0
sz300877,金春股份,2020-10-29,71.5,74.86,70.85,71.1,72.76,5631635.0,410043403.0,2023074351.9,8532000000.0
sz300877,金春股份,2020-10-30,70.92,70.92,61.05,62.67,71.1,7063630.0,462941844.0,1783207730.4299998,7520400000.0
sz300877,金春股份,2020-11-02,62.99,64.2,62.35,64.02,62.67,3097204.0,195995112.0,1821620534.58,7682400000.0
sz300877,金春股份,2020-11-03,64.02,64.87,63.04,64.07,64.02,2800557.0,179476685.0,1823043231.03,7688400000.0
sz300877,金春股份,2020-11-04,64.08,65.18,61.5,63.15,64.07,3474224.0,219158792.0,1796865616.35,7578000000.0
sz300877,金春股份,2020-11-05,63.88,65.49,63.21,65.29,63.15,3948004.0,254764213.0,1857757024.41,7834800000.0
sz300877,金春股份,2020-11-06,65.45,65.66,62.23,63.14,65.29,3157942.0,200717895.0,1796581077.0600002,7576800000.0
sz300877,金春股份,2020-11-09,63.54,65.35,62.92,64.71,63.14,3211957.0,206319891.0,1841253745.59,7765200000.0
sz300877,金春股份,2020-11-10,64.5,65.01,62.21,62.76,64.71,2959890.0,186847848.0,1785768584.04,7531200000.0
sz300877,金春股份,2020-11-11,62.72,63.18,60.41,60.73,62.76,2532299.0,156113276.0,1728007108.17,7287600000.0
sz300877,金春股份,2020-11-12,60.61,61.0,58.58,59.63,60.73,2492117.0,148633528.0,1696707786.27,7155600000.0
sz300877,金春股份,2020-11-13,59.64,61.88,59.64,61.33,59.63,2309553.0,141049270.0,1745079465.57,7359600000.0
sz300877,金春股份,2020-11-16,62.53,65.0,62.06,63.2,61.33,4354439.0,276789336.0,1798288312.8000002,7584000000.0
sz300877,金春股份,2020-11-17,63.01,63.35,60.5,61.66,63.2,3021583.0,185989836.0,1754469262.14,7399200000.0
sz300877,金春股份,2020-11-18,61.03,61.44,59.8,60.19,61.66,2291400.0,138370462.0,1712641986.5100002,7222800000.0
